**********WELCOME TO ASTEROID COLLECTOR**********

Asteroid Collected     Position     Size    Distance (in miles)
------------------     --------     ----    -------------------
        -              (20, 10)        -                   0.00
        1               (5, 10)     5.60                 150.00
        7               (0, 10)     3.00                  50.00
       21                (1, 2)     6.93                  80.62
       20                (1, 1)     4.80                  10.00
        2              (20, 30)     4.00                 346.70
        3              (30, 40)     3.50                 141.42
       28              (10, 41)     6.75                 200.25
       30              (10, 41)     8.11                   0.00
       17              (10, 50)     4.00                  90.00
       18              (20, 70)     7.00                 223.61
       19              (30, 65)     4.50                 111.80
       11              (40, 60)     8.70                 111.80
        0              (40, 58)     2.20                  20.00
       16              (40, 70)     4.50                 120.00
        6              (50, 80)     7.20                 141.42
        4              (60, 70)     8.00                 141.42
       10              (60, 90)     8.90                 200.00
       14              (85, 75)     2.20                 291.55
       24              (90, 99)     4.00                 245.15
       15            (100, 100)     3.90                 100.50
        5             (100, 50)     7.50                 500.00
       27              (80, 15)     2.35                 403.11
       29              (80, 15)     1.89                   0.00
       31              (80, 15)     2.76                   0.00
       33              (80, 15)     8.00                   0.00
       35              (80, 15)     5.46                   0.00
       26               (99, 0)     3.00                 242.07
       12              (50, 50)     3.00                 700.07
       32              (10, 41)     6.44                 410.00
       34              (10, 41)     4.00                   0.00
       36              (10, 41)     7.34                   0.00
